Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Mon, Mar 18, 2024",10:30p,Atlanta Hawks,105,Los Angeles Lakers,136,Box Score,,"18,997",Crypto.com Arena,
"Tue, Mar 19, 2024",7:00p,Charlotte Hornets,92,Orlando Magic,112,Box Score,,"18,846",Kia Center,
"Tue, Mar 19, 2024",7:00p,Houston Rockets,137,Washington Wizards,114,Box Score,,"14,137",Capital One Arena,
"Tue, Mar 19, 2024",7:30p,New Orleans Pelicans,104,Brooklyn Nets,91,Box Score,,"17,732",Barclays Center,
"Tue, Mar 19, 2024",8:00p,Dallas Mavericks,113,San Antonio Spurs,107,Box Score,,"18,354",Frost Bank Center,
"Tue, Mar 19, 2024",9:00p,Denver Nuggets,115,Minnesota Timberwolves,112,Box Score,,"18,024",Target Center,
"Wed, Mar 20, 2024",7:00p,Miami Heat,107,Cleveland Cavaliers,104,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Wed, Mar 20, 2024",7:00p,Indiana Pacers,122,Detroit Pistons,103,Box Score,,"19,897",Little Caesars Arena,
"Wed, Mar 20, 2024",7:30p,Milwaukee Bucks,119,Boston Celtics,122,Box Score,,"19,156",TD Garden,
"Wed, Mar 20, 2024",7:30p,Sacramento Kings,123,Toronto Raptors,89,Box Score,,"18,641",Scotiabank Arena,
"Wed, Mar 20, 2024",8:00p,Utah Jazz,107,Oklahoma City Thunder,119,Box Score,,"18,203",Paycom Center,
"Wed, Mar 20, 2024",10:00p,Memphis Grizzlies,116,Golden State Warriors,137,Box Score,,"18,064",Chase Center,
"Wed, Mar 20, 2024",10:00p,Philadelphia 76ers,102,Phoenix Suns,115,Box Score,,"17,071",Footprint Center,
"Wed, Mar 20, 2024",10:00p,Los Angeles Clippers,116,Portland Trail Blazers,103,Box Score,,"17,504",Moda Center,
"Thu, Mar 21, 2024",7:00p,New Orleans Pelicans,106,Orlando Magic,121,Box Score,,"17,094",Kia Center,
"Thu, Mar 21, 2024",7:00p,Sacramento Kings,102,Washington Wizards,109,Box Score,,"14,495",Capital One Arena,
"Thu, Mar 21, 2024",8:00p,Chicago Bulls,117,Houston Rockets,127,Box Score,,"17,016",Toyota Center,
"Thu, Mar 21, 2024",8:00p,Brooklyn Nets,108,Milwaukee Bucks,115,Box Score,,"17,341",Fiserv Forum,
"Thu, Mar 21, 2024",8:30p,Utah Jazz,97,Dallas Mavericks,113,Box Score,,"20,277",American Airlines Center,
"Thu, Mar 21, 2024",9:00p,New York Knicks,100,Denver Nuggets,113,Box Score,,"19,811",Ball Arena,
"Thu, Mar 21, 2024",10:30p,Atlanta Hawks,115,Phoenix Suns,128,Box Score,,"17,071",Footprint Center,
"Fri, Mar 22, 2024",7:00p,Boston Celtics,129,Detroit Pistons,102,Box Score,,"19,994",Little Caesars Arena,
"Fri, Mar 22, 2024",7:00p,Oklahoma City Thunder,123,Toronto Raptors,103,Box Score,,"19,601",Scotiabank Arena,
"Fri, Mar 22, 2024",8:00p,New Orleans Pelicans,111,Miami Heat,88,Box Score,,"19,727",Kaseya Center,
"Fri, Mar 22, 2024",8:00p,Cleveland Cavaliers,91,Minnesota Timberwolves,104,Box Score,,"18,024",Target Center,
"Fri, Mar 22, 2024",8:00p,Memphis Grizzlies,99,San Antonio Spurs,97,Box Score,,"17,408",Frost Bank Center,
"Fri, Mar 22, 2024",10:00p,Indiana Pacers,123,Golden State Warriors,111,Box Score,,"18,064",Chase Center,
"Fri, Mar 22, 2024",10:00p,Los Angeles Clippers,125,Portland Trail Blazers,117,Box Score,,"18,66",Moda Center,
"Fri, Mar 22, 2024",10:30p,Philadelphia 76ers,94,Los Angeles Lakers,101,Box Score,,"18,997",Crypto.com Arena,
